Feature,Coefficient,Abs_Coefficient
sg,-2.5024419372543636,2.5024419372543636
hemo,-2.22186399559378,2.22186399559378
al,1.6854528284589958,1.6854528284589958
dm_yes,1.5534918945014817,1.5534918945014817
appet_poor,1.531146516428696,1.531146516428696
htn_yes,1.2679943373799496,1.2679943373799496
pcv,-0.9217824091076928,0.9217824091076928
sc,0.8423397184953497,0.8423397184953497
rc,-0.6031408994061055,0.6031408994061055
pe_yes,0.5521390325439204,0.5521390325439204
su,0.5278957353385956,0.5278957353385956
bgr,0.4730613559855446,0.4730613559855446
sod,-0.25491714855968384,0.25491714855968384
bp,0.10485078456263147,0.10485078456263147
bu,0.06926031267257961,0.06926031267257961
cad_yes,0.0,0.0
age,0.0,0.0
wc,0.0,0.0
ba_present,0.0,0.0
pcc_present,0.0,0.0
pc_normal,0.0,0.0
rbc_normal,0.0,0.0
pot,0.0,0.0
ane_yes,0.0,0.0
